IBAN,First Name,Middle Name,Last Name,Email,Date of Birth,1st Nationality,2nd Nationality,Country of Residence,Currency,Amount
LB17649571519796532894969641,Georges ,,Khoury,georges.khoury@gmail.com,15/09/1980,Lebanese,French,Lebanon,USD,8378
LB75384179585791412547318756,Catherine,,Khoury,catherine.khoury@gmail.com,15/09/1980,Lebanese,French,Lebanon,EUR,64022
LB75384179585791412547318756,Georges ,,Khoury,georges.khoury@gmail.com,15/09/1980,Lebanese,French,Lebanon,EUR,64022
LB87418886914994765496383397,Elie,,Saab,eliesaab@gmail.com,17/01/1973,Lebanese,,Lebanon,USD,38570
LB69112474318516524621434886,Elie,,Saab,eliesaab@gmail.com,17/01/1973,Lebanese,,Lebanon,USD,7189
LB21395326813314452341288471,Hicham,Abou,Sleiman,sleimanhicham@gmail.com,25/09/1961,Lebanese,,Lebanon,USD,93580
LB79389864627545723976995915,Hicham,Abou,Sleiman,sleimanhicham@gmail.com,25/09/1961,Lebanese,,Lebanon,EUR,55931
LB96561587999761779257877299,Reem,,Acra,reem.acra@hotmail.com,05/06/1972,Lebanese,American,Lebanon,USD,66391
LB56689996857755573737926519,Zuhair,,Murad,zuhairm@gmail.com,17/10/1999,Lebanese,,Lebanon,USD,32078
LB58637698634344338591845787,Zuhair,,Murad,zuhairm@gmail.com,17/10/1999,Lebanese,,Lebanon,EUR,9866
LB37165685121551521133493931,Tony,,Boutros,thetony.boutros@gmail.com,19/04/2001,Lebanese,,Lebanon,EUR,19948
LB28134843542787887198945239,Tony,,Boutros,thetony.boutros@gmail.com,19/04/2001,Lebanese,,Lebanon,USD,62959
LB43831813617965718325131178,Mario,,Karam,mario.karam@gmail.com,17/11/1970,Lebanese,French,Lebanon,USD,73311
LB43831813617965718325131178,Maria,,Karam,maria.karam@gmail.com,17/11/1977,Lebanese,French,Lebanon,USD,73311
LB94712641799829284762898649,Mario,,Karam,mario.karam@gmail.com,17/11/1970,Lebanese,French,Lebanon,EUR,9646
LB94712641799829284762898649,Maria,,Karam,maria.karam@gmail.com,17/11/1977,Lebanese,French,Lebanon,EUR,9646
LB31844795684612248567949195,Zeina,,Khalil,zeina.khalil@hotmail.com,17/11/1983,Lebanese,,Lebanon,USD,93014
LB68919386467266467783124414,Jad,,Itani,jitani@gmail.com,06/05/1990,Lebanese,,Lebanon,USD,81522
LB89936427118749662919988129,Rami,,Karami,ramikarami@gmail.com,02/05/1981,Lebanese,,Lebanon,USD,62507
LB95178697754776119712346539,Rami,,Karami,ramikarami@gmail.com,02/05/1981,Lebanese,,Lebanon,EUR,65349
LB11231891611643347383816143,Nour,,Saad,nour.saad@aol.com,18/06/1980,Lebanese,Egyptian,Lebanon,USD,12311
LB82957878637275213982745712,Nour,,Saad,nour.saad@aol.com,19/06/1980,Lebanese,Egyptian,Lebanon,EUR,30093
LB60493748525264571714419895,Hussein,,Bazaza,husseinbazz@gmail.com,03/05/1980,Lebanese,,Cyprus,EUR,65393
LB57998785361885289671252268,Hussein,,Bazaza,husseinbazz@gmail.com,03/05/1980,Lebanese,,Cyprus,EUR,72923
LB40844954348768851138212282,Aline,,Sarkis,aline.sarkis@hotmail.com,22/11/1978,Lebanese,,Cyprus,USD,69784
LB80397584228377513234231493,Aline,,Sarkis,aline.sarkis@hotmail.com,22/11/1978,Lebanese,,Cyprus,EUR,86939
LB52296524143378231189861958,Jack,,Sarkis,jack.sarkis@hotmail.com,22/11/1978,Lebanese,,Cyprus,EUR,86939
LB37624811967572519211913335,Jack,,Sarkis,jack.sarkis@hotmail.com,22/11/1978,Lebanese,,Cyprus,USD,69784
FR3310096000409411558321K11,Marcel,,Olivier,marcel.olives@gmail.com,12/08/1979,French,Dutch,France,EUR,48478
FR7014508000402769542999M79,Marcel,,Olivier,marcel.olives@gmail.com,12/08/1979,French,Dutch,France,EUR,79155
FR4114508000506162882411G09,Marcel,,Olivier,marcel.olives@gmail.com,12/08/1979,French,Dutch,France,EUR,81184
